5,Eder,276,14,6.22,1.49,0.85
4,Matheus Vargas,356,4,3.3,0.65,0.47
5,Rafael Navarro,275,13,4.34,1.49,2.37
2,Heitor,285,1,4.24,2.8,2.69
2,Vitor Marinho,263,0,2,0,2.4
4,Patrick de Paula,263,10,6.54,3.51,1.63
2,Saravia,263,14,9.43,4.71,8.1
4,Darlan,286,3,2.21,0.5,1.04
2,Landázuri,356,7,2.51,1.47,1.6
3,Bruno Méndez,264,7,3.61,2.5,0.06
5,Giovani,275,1,2.11,0.2,2.44
5,John Mercado,293,1,2.17,-0.2,0.26
2,Bustos,285,13,9.69,4.18,8.26
4,Gabriel,276,5,3.49,1.36,0.26
3,Henrique Halls,280,0,2,0,2.4
4,Bryan García,293,3,2.25,0.93,1.98
4,Rodrigo Lindoso,354,8,4.36,2.17,1.78
2,Gustavo Garcia,275,3,3.07,3.93,0.95
4,Fabinho,275,4,1.4,0.78,-0.15
1,Jandrei,276,15,7.15,2.83,1.71
5,Luciano,276,12,13.87,5.74,13.18
3,Mezenga,263,0,3,0,3.59
3,Kaiky,277,1,4.58,1,1.73
5,Marcos Guilherme,276,1,5.44,1.9,4.62
3,Robert Renan,264,2,0.77,2.5,-1
5,Júnior Moraes,264,8,4.98,0.71,3
5,Wanderson,285,10,4.1,3.53,0.93
4,Rodrigo Nestor,276,13,6.93,3.45,1.89
4,Bruninho,286,4,2.53,1.35,1.68
2,Nicolas,286,0,1,0,1.21
2,Maguinho,290,12,3.45,1.45,1.8
2,Igor Vinícius,276,10,3.76,3.42,0.94
5,Ricardo Bueno,286,10,4.91,1.15,2.61
5,Pedrinho,327,11,6.23,2.63,6.73
5,Luan Silva,275,0,2,0,2.4
5,Guilherme Parede,286,8,2.18,0.86,0.31
5,Toró,276,1,7.2,7.9,8.84
3,Gustavo Marques,327,1,1.4,-0.3,0.75
4,Lucas Ventura,314,6,2.38,1.55,4.05
6,Eduardo Barroca,314,15,8.01,3.49,3.36
5,Alemão,285,12,6.48,3.15,3.68
6,Vítor Pereira,264,14,11.6,5.11,2.19
3,Philipe Sampaio,263,6,2.5,0.32,3.32
4,José Welison,356,10,5.29,3.53,2.12
3,Maicon,277,10,12.4,4.11,5.4
4,Pedro Bicalho,275,1,1.72,1.2,1.53
2,Rodrigo Soares,286,12,1.97,1.69,0.26
4,Elton,286,1,2.87,-0.3,0.49
5,Julimar,293,0,2,0,2.4
2,Warley,294,4,3.94,1.4,0.17
5,Gabriel Silva,275,0,3,0,3.59
5,Marcelo Cirino,293,9,3.69,1.12,0.43
3,Pablo,262,8,6.38,3.08,0.21
4,Matheus Jussa,356,9,0.73,-0.08,-0.86
5,Pitta,286,12,3.51,1.84,2.48
1,João,314,0,1,0,1.21
